Src_File,Type of Crime,Place of Crime,No. of PPL effected,Time,Day,crime Rate
51,1,5,1,1,Thursday,1
52,3,5,1,1,,0.333333333
52,3,5,1,2,,0.333333333
53,1,5,1,1,,1
53,3,5,1,2,,0.333333333
53,3,5,4,3,,1.333333333
54,3,5,1,1,,0.333333333
54,3,5,1,2,,0.333333333
54,3,,,,,0
55,3,5,8,1,,2.666666667
55,3,5,1,2,,0.333333333
55,3,5,,,,0
61,3,6,5,1,,1.666666667
62,3,6,1,1,,0.333333333
62,3,6,10,2,,3.333333333
63,3,6,2,1,,0.666666667
63,2,6,4,2,,2
64,2,6,2,1,,1
64,2,6,1,2,,0.5
65,3,6,5,1,,1.666666667
66,3,6,1,2,,0.333333333
66,1,6,1,3,,1
71,2,7,2,1,,1
71,1,7,2,1,,2
72,1,7,1,1,,1
73,3,7,2,2,,0.666666667
73,1,7,1,3,,1
74,3,7,1,4,,0.333333333
75,2,7,5,5,,2.5
75,3,7,1,5,,0.333333333
76,1,7,1,6,,1
81,2,8,8,1,,4
81,3,8,1,1,,0.333333333
82,2,8,12,2,,6
83,2,8,11,4,,5.5
84,2,8,3,4,,1.5
84,2,8,11,4,,5.5
84,2,8,11,4,,5.5
85,1,8,1,5,,1
86,1,8,1,5,,1
92,1,9,1,2,,1
92,3,9,1,2,,0.333333333
93,3,9,1,2,,0.333333333
93,1,9,3,3,,3
93,1,9,1,3,,1
94,2,9,1,4,,0.5
95,3,9,1,5,,0.333333333
96,3,9,10,6,,3.333333333
96,1,9,1,6,,1
12,2,1,1,2,Wednesday,0.5
12,1,1,2,2,Saturday,2
12,3,1,3,2,Monday,1
13,1,1,1,3,Friday,1
14,2,1,2,4,Thursday,1
14,3,1,3,4,Sunday,1
15,1,1,1,5,Tuesday,1
15,2,1,2,5,Wednesday,1
15,3,1,3,5,Thursday,1
16,2,1,1,6,Friday,0.5
16,1,1,4,6,Sunday,4
21,3,2,1,1,Monday,0.333333333
21,1,2,3,1,Saturday,3
22,2,2,2,2,Friday,1
22,3,2,4,2,Tuesday,1.333333333
23,1,2,5,3,Friday,5
24,1,2,5,4,Monday,5
25,2,2,1,5,Wednesday,0.5
25,1,2,2,5,Tuesday,2
25,3,2,3,5,Thursday,1
26,1,2,1,6,Friday,1
26,2,2,2,6,Saturday,1
41,3,4,1,1,,0.333333333
41,1,4,1,1,,1
41,1,4,150,1,,150
41,1,4,1,1,,1
42,3,4,1,2,,0.333333333
43,1,4,1,3,,1
44,1,4,1,4,,1
45,1,4,1,5,,1
46,1,4,1,6,,1
46,1,4,8,6,,8
46,3,4,1,6,,0.333333333
46,1,4,1,6,,1
31,1,3,1,1,,1
31,3,3,1,1,,0.333333333
31,3,3,10,1,,3.333333333
32,3,3,1,2,,0.333333333
33,3,3,1,3,,0.333333333
34,3,3,1,4,,0.333333333
35,3,3,1,5,,0.333333333
36,3,3,1,6,,0.333333333
36,1,3,1,6,,1
36,1,3,1,6,,1
